date,Open,High,Low,Close,Volume,MarketCap
2016-10-04,612.05,612.05,609.48,610.2,49801600,9705099355
2016-10-05,610.22,613.81,609.62,612.51,68077504,9743018924
2016-10-06,612.47,613.82,611.47,613.02,56812100,9752315689
2016-10-07,612.61,617.91,611.82,617.12,64071400,9818599994
2016-10-08,617.34,619.85,617.34,619.11,42345900,9851461946
2016-10-09,619.17,619.2,616.61,616.75,39243400,9815156618
2016-10-10,616.82,621.32,616.2,618.99,67481104,9851764897
2016-10-11,619.24,642.08,618.5,641.07,103590000,10204214839
2016-10-12,640.87,641.34,635.97,636.19,92370200,10127644784
2016-10-13,636.03,638.83,635.03,636.79,61620700,10138078870
2016-10-14,637.01,641.28,637.01,640.38,58144600,10196303437
2016-10-15,640.31,642.1,637.39,638.65,39035400,10169814232
2016-10-16,639.08,642.9,638.9,641.63,40298100,10218348388
2016-10-17,641.82,642.33,638.66,639.19,58063600,10180488274
2016-10-18,639.41,640.74,636,637.96,65546700,10162029114
2016-10-19,638.13,638.87,628.01,630.52,69381696,10044471117
2016-10-20,630.66,631.92,628.26,630.86,56957300,10050854099
2016-10-21,630.83,634.09,630.69,632.83,55951000,10083501603
2016-10-22,633.14,658.2,632.85,657.29,78556496,10474463658
2016-10-23,657.62,661.13,653.89,657.07,54474600,10472100602
2016-10-24,657.16,657.25,652.59,653.76,62218200,10420469172
2016-10-25,654,664.42,653.7,657.59,90378800,10482565592
2016-10-26,657.68,679.73,657.68,678.3,88877104,10813913071
2016-10-27,678.21,688.59,678.04,688.31,96105296,10974828655
2016-10-28,688,690.44,684.16,689.65,81145504,10997420362
2016-10-29,690.29,720.4,690.05,714.48,134760992,11394596830
2016-10-30,714.12,714.12,696.47,701.86,100665000,11194834676
2016-10-31,702.64,709.29,691.68,700.97,97064400,11181852070
2016-11-01,701.34,736.45,701.34,729.79,130527000,11642863554
2016-11-02,730.07,740.83,722.35,740.83,84865200,11820110421
2016-11-03,742.35,745.77,678.16,688.7,172808000,10989660280
2016-11-04,689.12,706.93,685.56,703.23,99907696,11222575748
2016-11-05,703.53,707.51,697.74,703.42,53752300,11226736982
2016-11-06,703.81,714.26,699.56,711.52,59902200,11357385316
2016-11-07,710.74,710.74,699.9,703.13,65047100,11224670783
2016-11-08,703.09,712.99,702.39,709.85,79660800,11333339468
2016-11-09,709.83,740.05,708.61,723.27,132429000,11548965779
2016-11-10,722.84,723.02,711.21,715.53,68807800,11426817526
2016-11-11,715.55,718.32,714.41,716.41,63119700,11442241390
