DATETIME,blob_sent,Open,High,Low,Close,Volume,,,,
2019-06-01 2:49,0.266666667,8573.84,8625.6,8481.58,8564.02,22488303544,,,,
2019-06-01 8:09,0,8573.84,8625.6,8481.58,8564.02,22488303544,,,,
2019-06-01 8:09,0,8573.84,8625.6,8481.58,8564.02,22488303544,,,,
2019-06-01 8:09,0,8573.84,8625.6,8481.58,8564.02,22488303544,,,,
2019-06-01 8:09,0,8573.84,8625.6,8481.58,8564.02,22488303544,,,,
2019-06-01 13:08,0,8573.84,8625.6,8481.58,8564.02,22488303544,,,,
2019-06-01 14:24,-0.266666667,8573.84,8625.6,8481.58,8564.02,22488303544,,,,
2019-06-01 14:24,-0.266666667,8573.84,8625.6,8481.58,8564.02,22488303544,,,,
2019-06-01 14:24,-0.266666667,8573.84,8625.6,8481.58,8564.02,22488303544,,,,
2019-06-01 15:38,-0.031818182,8573.84,8625.6,8481.58,8564.02,22488303544,,,,
2019-06-01 15:38,-0.031818182,8573.84,8625.6,8481.58,8564.02,22488303544,,,,
2019-06-01 17:49,0.7,8573.84,8625.6,8481.58,8564.02,22488303544,,,,
2019-06-01 17:49,0.7,8573.84,8625.6,8481.58,8564.02,22488303544,,,,
2019-06-01 18:06,0,8573.84,8625.6,8481.58,8564.02,22488303544,,,,
2019-06-01 18:06,0,8573.84,8625.6,8481.58,8564.02,22488303544,,,,
2019-06-01 18:44,0.233333333,8573.84,8625.6,8481.58,8564.02,22488303544,,,,
2019-06-02 0:21,0.1,8565.47,8809.3,8561.24,8742.96,20266216022,,,,
2019-06-02 0:21,0.1,8565.47,8809.3,8561.24,8742.96,20266216022,,,,
2019-06-02 0:40,0.214285714,8565.47,8809.3,8561.24,8742.96,20266216022,,,,
2019-06-02 2:08,0,8565.47,8809.3,8561.24,8742.96,20266216022,,,,
2019-06-02 10:25,0,8565.47,8809.3,8561.24,8742.96,20266216022,,,,
2019-06-02 10:25,0,8565.47,8809.3,8561.24,8742.96,20266216022,,,,
2019-06-02 10:25,0,8565.47,8809.3,8561.24,8742.96,20266216022,,,,
2019-06-02 17:37,0,8565.47,8809.3,8561.24,8742.96,20266216022,,,,
2019-06-02 17:37,0,8565.47,8809.3,8561.24,8742.96,20266216022,,,,
2019-06-02 17:37,0,8565.47,8809.3,8561.24,8742.96,20266216022,,,,
2019-06-02 19:16,0,8565.47,8809.3,8561.24,8742.96,20266216022,,,,
2019-06-02 19:32,0,8565.47,8809.3,8561.24,8742.96,20266216022,,,,
2019-06-02 19:32,0,8565.47,8809.3,8561.24,8742.96,20266216022,,,,
2019-06-02 19:35,-0.6,8565.47,8809.3,8561.24,8742.96,20266216022,,,,
2019-06-02 20:39,0,8565.47,8809.3,8561.24,8742.96,20266216022,,,,
2019-06-02 21:30,0.175,8565.47,8809.3,8561.24,8742.96,20266216022,,,,
2019-06-02 22:06,0.8,8565.47,8809.3,8561.24,8742.96,20266216022,,,,
2019-06-02 22:06,0.8,8565.47,8809.3,8561.24,8742.96,20266216022,,,,
2019-06-02 22:17,0.5,8565.47,8809.3,8561.24,8742.96,20266216022,,,,
2019-06-02 23:43,0.068181818,8565.47,8809.3,8561.24,8742.96,20266216022,,,,
2019-06-02 23:43,0.068181818,8565.47,8809.3,8561.24,8742.96,20266216022,,,,
2019-06-03 2:12,0.5,8741.75,8743.5,8204.19,8208.99,22004511436,,,,
2019-06-03 2:12,0.5,8741.75,8743.5,8204.19,8208.99,22004511436,,,,
2019-06-03 3:08,0.016666667,8741.75,8743.5,8204.19,8208.99,22004511436,,,,
2019-06-03 6:08,0,8741.75,8743.5,8204.19,8208.99,22004511436,,,,
2019-06-03 6:08,0,8741.75,8743.5,8204.19,8208.99,22004511436,,,,
2019-06-03 11:23,0,8741.75,8743.5,8204.19,8208.99,22004511436,,,,
2019-06-03 13:48,0,8741.75,8743.5,8204.19,8208.99,22004511436,,,,
2019-06-03 14:09,0.05,8741.75,8743.5,8204.19,8208.99,22004511436,,,,
2019-06-03 16:03,0.227272727,8741.75,8743.5,8204.19,8208.99,22004511436,,,,
2019-06-03 16:40,0,8741.75,8743.5,8204.19,8208.99,22004511436,,,,
2019-06-03 16:40,0,8741.75,8743.5,8204.19,8208.99,22004511436,,,,
2019-06-03 16:56,0,8741.75,8743.5,8204.19,8208.99,22004511436,,,,
2019-06-03 17:55,0,8741.75,8743.5,8204.19,8208.99,22004511436,,,,
2019-06-03 19:49,0.2,8741.75,8743.5,8204.19,8208.99,22004511436,,,,
2019-06-03 20:16,0,8741.75,8743.5,8204.19,8208.99,22004511436,,,,
2019-06-03 22:39,-0.1,8741.75,8743.5,8204.19,8208.99,22004511436,,,,
2019-06-03 22:39,-0.1,8741.75,8743.5,8204.19,8208.99,22004511436,,,,
2019-06-03 23:45,0,8741.75,8743.5,8204.19,8208.99,22004511436,,,,
2019-06-04 0:47,0,8210.99,8210.99,7564.49,7707.77,24609731549,,,,
2019-06-04 1:27,0.5,8210.99,8210.99,7564.49,7707.77,24609731549,,,,
2019-06-04 1:27,0.5,8210.99,8210.99,7564.49,7707.77,24609731549,,,,
2019-06-04 1:36,0.207142857,8210.99,8210.99,7564.49,7707.77,24609731549,,,,
2019-06-04 1:36,0.207142857,8210.99,8210.99,7564.49,7707.77,24609731549,,,,
2019-06-04 1:36,0.275,8210.99,8210.99,7564.49,7707.77,24609731549,,,,
2019-06-04 7:06,0.5,8210.99,8210.99,7564.49,7707.77,24609731549,,,,
2019-06-04 7:06,0.5,8210.99,8210.99,7564.49,7707.77,24609731549,,,,
2019-06-04 10:53,0,8210.99,8210.99,7564.49,7707.77,24609731549,,,,
2019-06-04 11:57,0.233333333,8210.99,8210.99,7564.49,7707.77,24609731549,,,,
2019-06-04 11:57,0.233333333,8210.99,8210.99,7564.49,7707.77,24609731549,,,,
2019-06-04 12:49,0,8210.99,8210.99,7564.49,7707.77,24609731549,,,,
2019-06-04 13:31,0.066666667,8210.99,8210.99,7564.49,7707.77,24609731549,,,,
2019-06-04 13:31,0.066666667,8210.99,8210.99,7564.49,7707.77,24609731549,,,,
2019-06-04 13:31,0.066666667,8210.99,8210.99,7564.49,7707.77,24609731549,,,,
2019-06-04 14:34,0.7,8210.99,8210.99,7564.49,7707.77,24609731549,,,,
2019-06-04 15:17,0,8210.99,8210.99,7564.49,7707.77,24609731549,,,,
2019-06-04 15:17,0,8210.99,8210.99,7564.49,7707.77,24609731549,,,,
2019-06-04 16:02,0.235353535,8210.99,8210.99,7564.49,7707.77,24609731549,,,,
2019-06-04 16:02,0.235353535,8210.99,8210.99,7564.49,7707.77,24609731549,,,,
2019-06-04 16:30,0.1,8210.99,8210.99,7564.49,7707.77,24609731549,,,,
2019-06-04 16:46,0,8210.99,8210.99,7564.49,7707.77,24609731549,,,,
2019-06-04 17:12,-0.183630952,8210.99,8210.99,7564.49,7707.77,24609731549,,,,
2019-06-04 17:19,0,8210.99,8210.99,7564.49,7707.77,24609731549,,,,
2019-06-04 17:36,0.066666667,8210.99,8210.99,7564.49,7707.77,24609731549,,,,
2019-06-04 23:49,0.125,8210.99,8210.99,7564.49,7707.77,24609731549,,,,
2019-06-04 23:49,0.125,8210.99,8210.99,7564.49,7707.77,24609731549,,,,
2019-06-05 6:38,0.116666667,7704.34,7901.85,7668.67,7824.23,21760923463,,,,
2019-06-05 8:06,0,7704.34,7901.85,7668.67,7824.23,21760923463,,,,
2019-06-05 8:06,0,7704.34,7901.85,7668.67,7824.23,21760923463,,,,
2019-06-05 8:06,0,7704.34,7901.85,7668.67,7824.23,21760923463,,,,
2019-06-05 13:00,0.4,7704.34,7901.85,7668.67,7824.23,21760923463,,,,
2019-06-05 13:40,0,7704.34,7901.85,7668.67,7824.23,21760923463,,,,
2019-06-05 13:40,0,7704.34,7901.85,7668.67,7824.23,21760923463,,,,
2019-06-05 13:40,0,7704.34,7901.85,7668.67,7824.23,21760923463,,,,
2019-06-05 15:05,0.136363636,7704.34,7901.85,7668.67,7824.23,21760923463,,,,
2019-06-05 16:02,-0.141666667,7704.34,7901.85,7668.67,7824.23,21760923463,,,,
2019-06-05 16:02,-0.141666667,7704.34,7901.85,7668.67,7824.23,21760923463,,,,
